Date, Open, High, Low, Close
03/16/20, 20917.53, 21768.28, 20116.46, 20188.52
03/17/20, 20487.05, 21379.35, 19882.26, 21237.38
03/18/20, 20188.69, 20489.33, 18917.46, 19898.92
03/19/20, 19830.01, 20442.63, 19177.13, 20087.19
03/20/20, 20253.15, 20531.26, 19094.27, 19173.98
03/23/20, 19028.36, 19121.01, 18213.65, 18591.93
03/24/20, 19722.19, 20737.70, 19649.25, 20704.91
03/25/20, 21050.34, 22019.93, 20538.34, 21200.55
03/26/20, 21468.38, 22595.06, 21427.10, 22552.17
03/27/20, 21898.47, 22327.57, 21469.27, 21636.78
03/30/20, 21678.22, 22378.09, 21522.08, 22327.48
03/31/20, 22208.42, 22480.37, 21852.08, 21917.16
04/01/20, 21227.38, 21487.24, 20784.43, 20943.51
04/02/20, 20819.46, 21477.77, 20735.02, 21413.44
04/03/20, 21285.93, 21447.81, 20863.09, 21052.53
04/06/20, 21693.63, 22783.45, 21693.63, 22679.99
04/07/20, 23537.44, 23617.24, 22634.45, 22653.86
04/08/20, 22893.47, 23513.40, 22682.99, 23433.57
04/09/20, 23690.66, 24008.99, 23504.09, 23719.37
04/13/20, 23698.93, 23698.93, 23095.35, 23390.77
04/14/20, 23690.57, 24040.58, 23683.44, 23949.76
04/15/20, 23600.72, 23649.72, 23233.32, 23504.35
04/16/20, 23543.66, 23598.08, 23211.38, 23537.68
04/17/20, 23817.15, 24264.21, 23817.15, 24242.49
04/20/20, 24095.10, 24108.69, 23627.19, 23650.44
04/21/20, 23365.25, 23365.25, 22941.88, 23018.88
04/22/20, 23437.34, 23613.10, 23339.60, 23475.82
04/23/20, 23543.09, 23885.36, 23483.35, 23515.26
04/24/20, 23628.24, 23826.00, 23417.68, 23775.27
04/27/20, 23866.15, 24207.65, 23840.61, 24133.78
04/28/20, 24357.17, 24512.24, 24031.20, 24101.55
04/29/20, 24490.37, 24764.77, 24453.99, 24633.86
04/30/20, 24585.57, 24585.57, 24186.90, 24345.72
05/01/20, 24120.78, 24120.78, 23645.30, 23723.69
05/04/20, 23581.55, 23769.56, 23361.16, 23749.76
05/05/20, 23958.88, 24169.72, 23868.91, 23883.09
05/06/20, 23978.88, 24054.59, 23661.14, 23664.64
05/07/20, 23837.21, 24094.62, 23834.39, 23875.89
05/08/20, 24107.82, 24349.90, 24107.05, 24331.32
05/11/20, 24256.45, 24366.21, 24070.22, 24221.99
05/12/20, 24292.84, 24382.09, 23761.58, 23764.78
05/13/20, 23702.16, 23708.90, 23067.64, 23247.97
05/14/20, 23049.06, 23630.86, 22789.62, 23625.34
05/15/20, 23454.83, 23730.08, 23354.15, 23685.42
05/18/20, 24059.98, 24708.54, 24059.98, 24597.37
05/19/20, 24577.48, 24599.50, 24202.96, 24206.86
05/20/20, 24455.94, 24649.48, 24455.94, 24575.90
05/21/20, 24564.27, 24718.46, 24370.88, 24474.12
05/22/20, 24461.98, 24481.64, 24294.07, 24465.16
05/26/20, 24781.84, 25176.42, 24781.84, 24995.11
05/27/20, 25298.63, 25551.56, 25009.87, 25548.27
05/28/20, 25697.36, 25758.79, 25358.73, 25400.64
05/29/20, 25324.15, 25482.80, 25031.67, 25383.11
06/01/20, 25342.99, 25508.83, 25220.66, 25475.02
06/02/20, 25582.52, 25743.13, 25523.74, 25742.65
06/03/20, 25906.88, 26337.75, 25906.88, 26269.89
06/04/20, 26226.49, 26384.10, 26082.31, 26281.82
06/05/20, 26836.80, 27338.30, 26836.80, 27110.98
06/08/20, 27232.93, 27580.21, 27232.48, 27572.44
06/09/20, 27447.37, 27447.37, 27151.06, 27272.30
06/10/20, 27251.89, 27355.22, 26938.05, 26989.99
06/11/20, 26282.51, 26294.08, 25082.72, 25128.17
06/12/20, 25659.42, 25965.55, 25078.41, 25605.54
06/15/20, 25270.39, 25891.58, 24843.18, 25763.16
06/16/20, 26326.68, 26611.03, 25811.70, 26289.98
06/17/20, 26330.52, 26400.07, 26068.41, 26119.61
06/18/20, 26016.45, 26154.20, 25848.53, 26080.10
06/19/20, 26213.10, 26451.44, 25759.66, 25871.46
06/22/20, 25865.08, 26059.81, 25667.68, 26024.96
06/23/20, 26159.39, 26314.97, 26105.97, 26156.10
06/24/20, 25992.96, 25992.96, 25296.73, 25445.94
06/25/20, 25365.22, 25769.61, 25209.79, 25745.60
06/26/20, 25641.69, 25641.69, 24971.03, 25015.55
06/29/20, 25152.45, 25601.15, 25096.16, 25595.80
06/30/20, 25512.43, 25905.38, 25475.14, 25812.88
07/01/20, 25879.38, 26019.31, 25713.61, 25734.97
07/02/20, 25936.45, 26204.41, 25778.12, 25827.36
07/06/20, 25996.08, 26297.53, 25996.08, 26287.03
07/07/20, 26172.01, 26174.93, 25866.58, 25890.18
07/08/20, 25950.06, 26109.49, 25816.25, 26067.28
07/09/20, 26094.92, 26103.28, 25523.51, 25706.09
07/10/20, 25690.35, 26101.32, 25637.50, 26075.30
07/13/20, 26225.07, 26639.09, 26044.23, 26085.80
07/14/20, 26044.17, 26690.52, 25994.98, 26642.59
07/15/20, 27009.81, 27071.33, 26692.48, 26870.10
07/16/20, 26746.57, 26879.16, 26590.01, 26734.71
07/17/20, 26774.62, 26808.43, 26619.88, 26671.95
07/20/20, 26660.29, 26765.02, 26504.20, 26680.87
07/21/20, 26833.14, 27025.38, 26766.22, 26840.40
07/22/20, 26824.56, 27035.24, 26794.19, 27005.84
07/23/20, 26955.97, 26973.85, 26560.04, 26652.33
07/24/20, 26533.41, 26625.70, 26402.86, 26469.89
